COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
675021,"sphingomyelin (d18:2/16:0, d18:1/16:1)*",Lipid,Sphingomyelins,POSb,HMDB0240613,"HMDB0240613,HMDB0240638(SM(d18:2(4E,14Z)/16:0))",52931145.0,222403-66-9,,34448430.0
675022,sphingomyelin (d18:2/18:1)*,Lipid,Sphingomyelins,POSb,,,,,,
675023,"sphingomyelin (d18:2/21:0, d16:2/23:0)*",Lipid,Sphingomyelins,POSb,HMDB0240676,,,,,
675024,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",Lipid,Sphingomyelins,POSb,HMDB0240614,"HMDB0240614,HMDB0240634,(SM(d18:2(4E,14Z)/23:0)),HMDB0011696(SM(d17:1/24:1(15Z)))",,2124199-71-7,,
675025,sphingomyelin (d18:2/23:1)*,Lipid,Sphingomyelins,POSb,HMDB0240668,,,,,
675026,"sphingomyelin (d18:2/24:1, d18:1/24:2)*",Lipid,Sphingomyelins,POSb,HMDB0240615,"HMDB0240615,HMDB0240636(SM(d18:2(4E,14Z)/24:1(15Z)))",,2379393-54-9,,
675027,sphingomyelin (d18:2/24:2)*,Lipid,Sphingomyelins,POSb,HMDB0240644,,,,,
675028,stearoyl sphingomyelin (d18:1/18:0),Lipid,Sphingomyelins,POSb,HMDB0001348,,6453725.0,58909-84-5,,4956085.0
675029,tricosanoyl sphingomyelin (d18:1/23:0)*,Lipid,Sphingomyelins,POSb,HMDB0012105,,46891684.0,121999-74-4,C00550,34448889.0
676007,sphingosine,Lipid,Sphingosines,POSb,HMDB0000252,,5280335.0,123-78-4,C00319,4444047.0
677004,4-cholesten-3-one,Lipid,Sterol,POSb,HMDB0000921,,91477.0,601-57-0,C00599,82602.0
677011,cholesterol,Lipid,Sterol,POSb,HMDB0000067,,5997.0,57-88-5,C00187,
634009,glycosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,Lipid,Hexosylceramides (HCER),POSb,HMDB0004975,"HMDB0004975,HMDB0010712(Galactosylceramide (d18:1/24:1(15Z)))",20057357.0,,C01190,16744960.0
