COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
635006,myo-inositol,Lipid,Inositol Metabolism,NEGb,HMDB0000211,,,87-89-8,C00137,10239179.0
636001,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,NEGb,HMDB0000011,,92135.0,625-72-9,C01089,83181.0
645001,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,NEGb,HMDB0000355,,1662.0,503-49-1,C03761,1600.0
646001,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,NEGb,HMDB0011578,,,,,
652001,"1,2-dioleoyl-GPG (18:1/18:1)",Lipid,Phosphatidylglycerol (PG),NEGb,,,,,,
652004,1-palmitoyl-2-linoleoyl-GPG (16:0/18:2),Lipid,Phosphatidylglycerol (PG),NEGb,HMDB0010575,,,,,
652005,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid,Phosphatidylglycerol (PG),NEGb,,,,,,
653002,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009844,,,,,
653004,1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*,Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009838,,,,,
653006,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009789,,,88587-97-7,,28639234.0
653007,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009784,,,219584-66-4,,28639235.0
653008,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009783,,,,,
653009,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009815,,,206059-96-3,,34448968.0
653010,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009809,,,,C00626,24767694.0
653011,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,Lipid,Phosphatidylinositol (PI),NEGb,HMDB0009835,,,,,
654006,1-stearoyl-2-linoleoyl-GPS (18:0/18:2),Lipid,Phosphatidylserine (PS),NEGb,HMDB0012380,,9547091.0,132014-81-4,,7826041.0
655004,CDP-ethanolamine,Lipid,Phospholipid Metabolism,NEGb,HMDB0001564,,123727.0,3036-18-8,C00570,110296.0
655006,glycerophosphoinositol*,Lipid,Phospholipid Metabolism,NEGb,,,,,,
677012,cholesterol sulfate,Lipid,Sterol,NEGb,HMDB0000653,,,,C18043,
703007,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",NEGb,HMDB0000462,,204.0,97-59-6,C01551,199.0
703015,xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",NEGb,HMDB0000292,,1188.0,69-89-6,C00385,1151.0
704012,3'-CMP,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",NEGb,HMDB0240312,"HMDB0240312,HMDB0011692(Cytidine 2'-phosphate)",66535.0,84-52-6,C05822,59906.0
704018,dihydroorotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",NEGb,HMDB0003349,,,,C00337,
704019,N-carbamoylaspartate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",NEGb,HMDB0000828,,93072.0,13184-27-5,C00438,84022.0
704020,orotate,Nucleotide,"Pyrimidine Metabolism, Orotate containing",NEGb,HMDB0000226,,967.0,65-86-1,C00295,942.0
704021,orotidine,Nucleotide,"Pyrimidine Metabolism, Orotate containing",NEGb,HMDB0000788,,92751.0,314-50-1,C01103,83729.0
704033,4-ureidobutyrate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",NEGb,,,,,,
704039,N-acetyl-beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",NEGb,HMDB0061880,,76406.0,3025-95-4,C01073,68881.0
704041,uracil,Nucleotide,"Pyrimidine Metabolism, Uracil containing",NEGb,HMDB0000300,,1174.0,66-22-8,C00106,1141.0
704044,uridine 3'-monophosphate (3'-UMP),Nucleotide,"Pyrimidine Metabolism, Uracil containing",NEGb,HMDB0060282,,101543.0,84-53-7,C01368,91753.0
704046,UMP,Nucleotide,"Pyrimidine Metabolism, Uracil containing",NEGb,HMDB0000288,,6030.0,58-97-9,C00105,5808.0
801083,pentose acid*,Partially Characterized Molecules,Partially Characterized Molecules,NEGb,HMDB0000892,,7991.0,109-52-4,C00803,7701.0
901008,phenylacetylglutamate,Peptide,Acetylated Peptides,NEGb,HMDB0059772,,11579826.0,,,
101001,alanine,Amino Acid,Alanine and Aspartate Metabolism,POSa,HMDB0000161,,5950.0,56-41-7,C00041,5735.0
101002,asparagine,Amino Acid,Alanine and Aspartate Metabolism,POSa,HMDB0000168,,6267.0,70-47-3,C00152,6031.0
101003,aspartate,Amino Acid,Alanine and Aspartate Metabolism,POSa,HMDB0000191,,5960.0,56-84-8,C00049,5745.0
101004,hydroxyasparagine**,Amino Acid,Alanine and Aspartate Metabolism,POSa,HMDB0032332,,,,C03124,
101007,N-acetylasparagine,Amino Acid,Alanine and Aspartate Metabolism,POSa,HMDB0006028,,99715.0,4033-40-3,,90090.0
105001,creatine,Amino Acid,Creatine Metabolism,POSa,HMDB0000064,,586.0,57-00-1,C00300,566.0
105003,creatinine,Amino Acid,Creatine Metabolism,POSa,HMDB0000562,,588.0,60-27-5,C00791,568.0
105004,guanidinoacetate,Amino Acid,Creatine Metabolism,POSa,HMDB0000128,,763.0,352-97-6,C00581,743.0
107001,2-pyrrolidinone,Amino Acid,Glutamate Metabolism,POSa,HMDB0002039,,12025.0,616-45-5,C11118,11530.0
107002,4-hydroxyglutamate,Amino Acid,Glutamate Metabolism,POSa,HMDB0002273,,,,C03079,
107005,carboxyethyl-GABA,Amino Acid,Glutamate Metabolism,POSa,HMDB0002201,,2572.0,4386-03-2,,2474.0
107007,gamma-aminobutyrate (GABA),Amino Acid,Glutamate Metabolism,POSa,HMDB0000112,,119.0,56-12-2,C00334,116.0
