Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Cord,sample-23,PC1,31.293148297065237,high,14,1116093,1.16000291050829,3.251702502759724,high,0.04872198000301925,positive,0.1584293843152269,0.1584293843152269
Cord,sample-23,PC1,31.293148297065237,high,15,902017,1.20301654854339,2.9422927511755526,high,0.05136864395602333,positive,0.1511415887495253,0.1511415887495253
Cord,sample-23,PC1,31.293148297065237,high,16,801007,0.806934739207011,-2.4237774637137104,low,-0.06093438163766639,negative,0.14769138097870632,0.14769138097870632
Cord,sample-23,PC1,31.293148297065237,high,17,304004,0.814212287710464,-2.4971109117214016,low,-0.058744941533406876,negative,0.14669263451150608,0.14669263451150608
Cord,sample-23,PC1,31.293148297065237,high,18,1103010,1.04178085472104,2.7058180884161733,high,0.05415584384551863,positive,0.146535861870646,0.146535861870646
Cord,sample-23,PC1,31.293148297065237,high,19,642008,0.875660461204265,-2.7194399172840726,low,-0.05351280882727834,negative,0.14552486841089218,0.14552486841089218
Cord,sample-23,PC1,31.293148297065237,high,20,801006,0.851258623801617,-2.3655515360759414,low,-0.061250308846359555,negative,0.14489076217663166,0.14489076217663166
Cord,sample-25,PC1,20.79845469925479,high,1,801009,0.718697391273867,-2.718526112818071,low,-0.06144121065086451,negative,0.16702953555753097,0.16702953555753097
Cord,sample-25,PC1,20.79845469925479,high,2,304004,0.801574930200478,-2.700114526802477,low,-0.058744941533406876,negative,0.1586180700105141,0.1586180700105141
Cord,sample-25,PC1,20.79845469925479,high,3,1103076,0.815727124310193,-3.1891392420342606,low,-0.046411767441186885,negative,0.14801358883885712,0.14801358883885712
Cord,sample-25,PC1,20.79845469925479,high,4,304001,0.707179852945987,-2.4436201289367783,low,-0.0602159187532677,negative,0.14714483114790658,0.14714483114790658
Cord,sample-25,PC1,20.79845469925479,high,5,902018,1.20452876750851,2.5328156960207786,high,0.05752206202856589,positive,0.14569278157343252,0.14569278157343252
Cord,sample-25,PC1,20.79845469925479,high,6,112026,0.844099147074201,-3.289702205213342,low,-0.04419044099769044,negative,0.14537339119945233,0.14537339119945233
Cord,sample-25,PC1,20.79845469925479,high,7,801007,0.811192049581988,-2.3628531626265903,low,-0.06093438163766639,negative,0.14397899636525566,0.14397899636525566
Cord,sample-25,PC1,20.79845469925479,high,8,703015,1.12783746077545,2.178681166156456,high,0.06591189644135848,positive,0.14360100740244244,0.14360100740244244
Cord,sample-25,PC1,20.79845469925479,high,9,112022,0.935502061406326,-2.728946144095349,low,-0.05219515426264876,negative,0.14243776496551724,0.14243776496551724
Cord,sample-25,PC1,20.79845469925479,high,10,1116139,1.19806088663978,3.5017493590223845,high,0.040334325710744155,positive,0.14124069920419843,0.14124069920419843
Cord,sample-25,PC1,20.79845469925479,high,11,109014,1.13356812341644,3.0469551940491453,high,0.04559905724402531,positive,0.13893828431342722,0.13893828431342722
Cord,sample-25,PC1,20.79845469925479,high,12,111006,0.887154668986556,-2.929531616239435,low,-0.04716888985068672,negative,0.13818275412050215,0.13818275412050215
Cord,sample-25,PC1,20.79845469925479,high,13,621031,0.854217143954796,-2.712834967843049,low,-0.05078012655463908,negative,0.13775810298892024,0.13775810298892024
Cord,sample-25,PC1,20.79845469925479,high,14,801002,0.854434687888357,-2.3529787803796456,low,-0.05837992212673547,negative,0.1373667179644247,0.1373667179644247
Cord,sample-25,PC1,20.79845469925479,high,15,902001,1.0,2.5122895374492167,high,0.054603109864646115,positive,0.13717882162514056,0.13717882162514056
Cord,sample-25,PC1,20.79845469925479,high,16,801006,0.858435129391805,-2.2353768101943947,low,-0.061250308846359555,negative,0.13691752001239674,0.13691752001239674
Cord,sample-25,PC1,20.79845469925479,high,17,109001,1.05459168037841,3.163283350312343,high,0.04285529842323808,positive,0.1355634519748958,0.1355634519748958
Cord,sample-25,PC1,20.79845469925479,high,18,659011,0.78498501379837,-2.5422950192505205,low,-0.05256154239251842,negative,0.1336269474286247,0.1336269474286247
