Dataset,PC,Metabolite,Outlier_Count,Mean_Abs_Contribution,Mean_Contribution,Mean_Abs_Z,Mean_Abs_Loading,Typical_Value_Direction,Typical_Loading_Direction
Placenta,PC2,109010,1,0.2492979687838069,-0.2492979687838069,4.190688746524378,0.05948854325928323,low,positive
Placenta,PC2,601007,1,0.24246967831172858,0.24246967831172858,5.495912798189968,0.044118181495089205,high,positive
Placenta,PC2,607034,1,0.23711672317603197,0.23711672317603197,4.014109993315326,0.05907080861533467,low,negative
Placenta,PC2,108005,1,0.23633780583311567,-0.23633780583311567,3.786561933629364,0.06241487924286752,low,positive
Placenta,PC2,652005,1,0.23524010814850552,0.23524010814850552,4.62733144099227,0.05083709934079444,low,negative
Placenta,PC2,203004,1,0.23453140649109716,-0.23453140649109716,4.197003057772632,0.055880685160988194,low,positive
Placenta,PC2,117025,1,0.23000870879077662,-0.23000870879077662,5.14638666317062,0.04469324282157053,low,positive
Placenta,PC2,659004,1,0.22780086545071335,0.22780086545071335,4.997346877102206,0.04558436127267744,high,positive
Placenta,PC2,905010,1,0.2266404684939231,-0.2266404684939231,4.651122736832967,0.04872812035234458,low,positive
Placenta,PC2,613002,1,0.22227725380157504,0.22227725380157504,5.0087634417251135,0.04437767053439012,high,positive
Placenta,PC2,118010,1,0.22133034231701998,-0.22133034231701998,4.498950822232343,0.04919599059035672,low,positive
Placenta,PC2,113012,1,0.22070387859232501,-0.22070387859232501,4.684763259671709,0.04711099928831646,low,positive
Placenta,PC2,621002,1,0.21920951164310384,-0.21920951164310384,4.0825171192950895,0.05369469502211268,low,positive
Placenta,PC2,402014,1,0.21886561703380158,-0.21886561703380158,4.337848896704218,0.05045487342818462,high,negative
Placenta,PC2,116012,1,0.21866680868919203,0.21866680868919203,3.441200249086935,0.06354376172883622,high,positive
Placenta,PC2,616088,1,0.2184188285079301,0.2184188285079301,4.226518357474487,0.051678192316771114,low,negative
Placenta,PC2,905006,1,0.21518297550854282,-0.21518297550854282,4.083529266031887,0.05269534304517031,low,positive
Placenta,PC2,675019,1,0.21367469213615625,0.21367469213615625,4.779444294818994,0.044707015911407015,low,negative
Placenta,PC2,210011-1,1,0.20363164533136985,-0.20363164533136985,4.364746976867235,0.046653711294285596,low,positive
Placenta,PC2,616100,1,0.20312542845655845,0.20312542845655845,3.513904641522996,0.057806186899972294,low,negative
Placenta,PC2,310002,1,0.20235497477321548,-0.20235497477321548,4.469504108297198,0.04527459196145793,high,negative
Placenta,PC2,206003,1,0.20121263649830587,0.20121263649830587,2.8552157789906945,0.070471954511765,high,positive
Placenta,PC2,616098,1,0.19855635810911135,0.19855635810911135,3.8724822222391535,0.05127366549775966,low,negative
Placenta,PC2,905018,1,0.19346350084765968,-0.19346350084765968,3.303152234638991,0.058569356513113825,low,positive
Placenta,PC2,653004,1,0.19056888053962204,0.19056888053962204,4.301690171030246,0.044300931253256945,low,negative
Placenta,PC2,119030,1,0.190399187639087,-0.190399187639087,3.060928701960049,0.06220307827397807,low,positive
Placenta,PC2,616081,1,0.18783723595539478,0.18783723595539478,2.9200136769544542,0.06432751922974114,low,negative
Placenta,PC2,607022,1,0.1869037865234581,0.1869037865234581,3.9611829029931394,0.047183831471712734,low,negative
Placenta,PC2,117013,1,0.18591189488210613,-0.18591189488210613,3.2557410395585897,0.057102789387485156,low,positive
Placenta,PC2,607006,1,0.1846655600344564,0.1846655600344564,3.7949228547218907,0.04866121581488368,low,negative
Placenta,PC2,116014,1,0.18429350282578918,-0.18429350282578918,6.244997998398399,0.029510578365766225,high,negative
Placenta,PC2,616072,1,0.18371539532598785,0.18371539532598785,3.1338821565525588,0.058622304907624476,low,negative
Placenta,PC2,703059,1,0.1770588193300571,-0.1770588193300571,3.6614437105594972,0.048357651605956585,low,positive
Placenta,PC2,616082,1,0.1747824832093331,0.1747824832093331,2.990391764330855,0.05844802185925071,low,negative
Placenta,PC2,607027,1,0.17444154523762143,0.17444154523762143,3.0861402356057956,0.0565241796937913,low,negative
Placenta,PC2,616096,1,0.17417691884599487,0.17417691884599487,2.928043047145194,0.05948577805774243,low,negative
Placenta,PC2,116016,1,0.17367179275069666,-0.17367179275069666,3.2751819722323487,0.05302660866575385,high,negative
Placenta,PC2,646001,1,0.17224594200690052,-0.17224594200690052,4.0769446260442175,0.04224878133162861,high,negative
Placenta,PC2,653006,1,0.1693428039384063,0.1693428039384063,4.277683712502309,0.03958749999292167,low,negative
