Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Placenta,sample-12,PC1,-36.691305913207366,low,15,604015,0.846742181908573,-4.024723239283244,low,0.0572329415332257,positive,-0.23034674984131265,0.23034674984131265
Placenta,sample-12,PC1,-36.691305913207366,low,16,652005,0.777400675524416,-4.62733144099227,low,0.049192918457668634,positive,-0.22763193825333905,0.22763193825333905
Placenta,sample-12,PC1,-36.691305913207366,low,17,604004,0.88234482030715,-3.783482346000205,low,0.05995746024158852,positive,-0.22684799233505934,0.22684799233505934
Placenta,sample-12,PC1,-36.691305913207366,low,18,651017,0.909533331329612,-3.7011405348290993,low,0.06106381412319449,positive,-0.22600575766262476,0.22600575766262476
Placenta,sample-12,PC1,-36.691305913207366,low,19,651006,0.878588968181547,-3.800993747052785,low,0.05889351026466908,positive,-0.2238538642579962,0.2238538642579962
Placenta,sample-12,PC1,-36.691305913207366,low,20,650020,0.951712939465643,-3.500890444386032,low,0.06386191551271773,positive,-0.22357356977866163,0.22357356977866163
Placenta,sample-12,PC2,26.244922045783376,high,1,601007,1.20750024367681,5.495912798189968,high,0.044118181495089205,positive,0.24246967831172858,0.24246967831172858
Placenta,sample-12,PC2,26.244922045783376,high,2,607034,0.854337933262588,-4.014109993315326,low,-0.05907080861533467,negative,0.23711672317603197,0.23711672317603197
Placenta,sample-12,PC2,26.244922045783376,high,3,652005,0.777400675524416,-4.62733144099227,low,-0.05083709934079444,negative,0.23524010814850552,0.23524010814850552
Placenta,sample-12,PC2,26.244922045783376,high,4,659004,1.37190073336213,4.997346877102206,high,0.04558436127267744,positive,0.22780086545071335,0.22780086545071335
Placenta,sample-12,PC2,26.244922045783376,high,5,613002,1.35178112256197,5.0087634417251135,high,0.04437767053439012,positive,0.22227725380157504,0.22227725380157504
Placenta,sample-12,PC2,26.244922045783376,high,6,116012,1.08456466314155,3.441200249086935,high,0.06354376172883622,positive,0.21866680868919203,0.21866680868919203
Placenta,sample-12,PC2,26.244922045783376,high,7,616088,0.811391457122078,-4.226518357474487,low,-0.051678192316771114,negative,0.2184188285079301,0.2184188285079301
Placenta,sample-12,PC2,26.244922045783376,high,8,675019,0.79567381599239,-4.779444294818994,low,-0.044707015911407015,negative,0.21367469213615625,0.21367469213615625
Placenta,sample-12,PC2,26.244922045783376,high,9,616100,0.851088646952479,-3.513904641522996,low,-0.057806186899972294,negative,0.20312542845655845,0.20312542845655845
Placenta,sample-12,PC2,26.244922045783376,high,10,206003,1.1457362195762,2.8552157789906945,high,0.070471954511765,positive,0.20121263649830587,0.20121263649830587
Placenta,sample-12,PC2,26.244922045783376,high,11,616098,0.867967657000494,-3.8724822222391535,low,-0.05127366549775966,negative,0.19855635810911135,0.19855635810911135
Placenta,sample-12,PC2,26.244922045783376,high,12,653004,0.881365061155412,-4.301690171030246,low,-0.044300931253256945,negative,0.19056888053962204,0.19056888053962204
Placenta,sample-12,PC2,26.244922045783376,high,13,616081,0.801440807400262,-2.9200136769544542,low,-0.06432751922974114,negative,0.18783723595539478,0.18783723595539478
Placenta,sample-12,PC2,26.244922045783376,high,14,607022,0.898880225247078,-3.9611829029931394,low,-0.047183831471712734,negative,0.1869037865234581,0.1869037865234581
Placenta,sample-12,PC2,26.244922045783376,high,15,607006,0.882828328467058,-3.7949228547218907,low,-0.04866121581488368,negative,0.1846655600344564,0.1846655600344564
