Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
sample-7,1.2333627255067008,5.583732105650307,0.6395134366366237,-0.105908482258299,-1.513911522579132,2.777795540879735,-1.3262673387281891,1.5652243062594078,1.3376188806546332,0.09435913567652765,Cord
sample-8,-14.882183226683033,-0.8580000674872608,-6.719739641867519,3.0817410832984464,-5.622329767509518,-6.163568837847558,2.816193389502542,-3.571731872779603,-2.5537493306018115,2.457732483527654,Cord
sample-9,-1.0556365702162704,8.093943741868394,5.598673345644928,1.7287350198051536,-9.232422762913545,-4.0792865217839145,6.769710220130279,-5.15418726296106,-13.304163964905454,0.481303202439774,Cord
sample-10,-9.944810509415115,2.6661279274847574,1.841257855290167,0.9036884636896593,-4.780742549895019,-3.251545857050629,2.364305078500626,-3.789502697511493,-1.1304751748099906,0.8937058099932683,Cord
sample-11,-5.770657199991843,3.5492190961917145,6.553864383454257,-4.06226741054928,-2.7646873561802017,-3.5532831406873817,1.7699961782523046,-3.5252118549269387,-2.8407917052258034,4.64599833630698,Cord
sample-12,-4.524000314414912,-8.424220734297208,6.82884987077248,1.0050245422910071,-12.575651884766625,10.148632434266494,-0.02388074387056639,4.607002009792024,4.087498955412613,2.624709919187059,Cord
sample-13,4.266118225266164,8.910474402542215,11.035353066680639,-1.9532924047876206,-2.2010188393100814,2.335982089645046,0.16339226360387527,-3.583822959700354,-5.4742337817718765,-4.088275073195677,Cord
sample-14,-1.2510388254858276,0.9032416173850764,-2.119848677648303,0.4152228599587569,-0.26986335741488066,3.777876103861185,-0.251009532988574,2.5959619726844396,-1.7237108453809962,-4.957043579184493,Cord
sample-15,-3.0765140583354973,7.463647321097401,7.772625437825612,-1.6195836665338625,1.2937244195087363,-1.6036171303301239,-5.7690157291668225,-3.5066733160166943,-2.0842112151067154,-5.918580520191134,Cord
sample-16,-11.175086021241635,-1.8724969331259282,0.42981573158364045,3.9054240704621006,-0.3534789202879818,1.616534524579763,-7.761968617797956,3.8153535419763136,2.2017084335114983,-13.557829817010822,Cord
sample-17,3.6510107994079894,5.7379304118622185,2.7528756338250866,-4.162148484857482,-3.9567991548897217,2.671091386757563,-2.76384700872172,-1.29274820169504,-2.165432496160732,3.87318466267474,Cord
